9ns  |  0x00000000  |  fe010113           add sp,sp,-32 ## [ ENTER MAIN ] ##
13ns  |  0x00000004  |  00112e23           sw ra,28(sp)
15ns  |  0x00000008  |  00812c23           sw s0,24(sp)
16ns  |  0x0000000c  |  02010413           add s0,sp,32
19ns  |  0x00000010  |  fe042623           sw zero,-20(s0)
55ns  |  0x00000014  |  fe042423           sw zero,-24(s0)
56ns  |  0x00000018  |  0680006f           j 80 <main+0x80>
57ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
58ns  |  0x00000084  |  01300793           li a5,19
59ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
60ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
61ns  |  0x00000020  |  0017f793           and a5,a5,1
62ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
63ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
64ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
65ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
66ns  |  0x00000034  |  00078513           mv a0,a5
67ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
68ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
69ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
70ns  |  0x000000ac  |  02010413           add s0,sp,32
83ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
84ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
85ns  |  0x000000b8  |  0017f793           and a5,a5,1
86ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
87ns  |  0x000000c0  |  01400793           li a5,20
88ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
89ns  |  0x000000cc  |  00078513           mv a0,a5
90ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
91ns  |  0x000000d4  |  02010113           add sp,sp,32
92ns  |  0x000000d8  |  00008067           ret
93ns  |  0x0000003c  |  00050713           mv a4,a0
94ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
95ns  |  0x00000044  |  00e787b3           add a5,a5,a4
96ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
97ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
98ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
99ns  |  0x00000078  |  00178793           add a5,a5,1
129ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
130ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
131ns  |  0x00000084  |  01300793           li a5,19
132ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
133ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
134ns  |  0x00000020  |  0017f793           and a5,a5,1
135ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
136ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
137ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
138ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
139ns  |  0x0000005c  |  00078513           mv a0,a5
140ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
141ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
142ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
143ns  |  0x000000e4  |  02010413           add s0,sp,32
156ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
