============== PROGRAM TRACE ==============
110ns , 0x0 , x00 , 0x00000004
180ns , 0x4 , x01 , 0x00000000
190ns , 0x8 , x02 , 0x00000000
200ns , 0xc , x03 , 0x00000000
210ns , 0x10 , x04 , 0x00000000
220ns , 0x14 , x05 , 0x00000000
230ns , 0x18 , x06 , 0x00000000
240ns , 0x1c , x07 , 0x00000000
250ns , 0x20 , x08 , 0x00000000
260ns , 0x24 , x09 , 0x00000000
270ns , 0x28 , x10 , 0x00000000
280ns , 0x2c , x11 , 0x00000000
290ns , 0x30 , x12 , 0x00000000
300ns , 0x34 , x13 , 0x00000000
310ns , 0x38 , x14 , 0x00000000
320ns , 0x3c , x15 , 0x00000000
330ns , 0x40 , x16 , 0x00000000
340ns , 0x44 , x17 , 0x00000000
350ns , 0x48 , x18 , 0x00000000
360ns , 0x4c , x19 , 0x00000000
370ns , 0x50 , x20 , 0x00000000
380ns , 0x54 , x21 , 0x00000000
390ns , 0x58 , x22 , 0x00000000
400ns , 0x5c , x23 , 0x00000000
410ns , 0x60 , x24 , 0x00000000
420ns , 0x64 , x25 , 0x00000000
430ns , 0x68 , x26 , 0x00000000
440ns , 0x6c , x27 , 0x00000000
450ns , 0x70 , x28 , 0x00000000
460ns , 0x74 , x29 , 0x00000000
470ns , 0x78 , x30 , 0x00000000
480ns , 0x7c , x31 , 0x00000000
490ns , 0x80 , x03 , 0x00000000
500ns , 0x84 , x10 , 0x00000001
510ns , 0x88 , x10 , 0x80000000
520ns , 0x8c , x00 , 0x00000001
590ns , 0xb0 , x00 , 0x00000000
620ns , 0xb4 , x05 , 0x000000b4
630ns , 0xb8 , x05 , 0x000000c4
640ns , 0xbc , x00 , 0x00000000
670ns , 0xc0 , x10 , 0x00000000
680ns , 0xc4 , x03 , 0x00000002
780ns , 0x0 , x00 , 0x00000004
850ns , 0x4 , x01 , 0x00000000
860ns , 0x8 , x02 , 0x00000000
870ns , 0xc , x03 , 0x00000000
880ns , 0x10 , x04 , 0x00000000
890ns , 0x14 , x05 , 0x00000000
900ns , 0x18 , x06 , 0x00000000
910ns , 0x1c , x07 , 0x00000000
920ns , 0x20 , x08 , 0x00000000
930ns , 0x24 , x09 , 0x00000000
940ns , 0x28 , x10 , 0x00000000
950ns , 0x2c , x11 , 0x00000000
960ns , 0x30 , x12 , 0x00000000
970ns , 0x34 , x13 , 0x00000000
980ns , 0x38 , x14 , 0x00000000
990ns , 0x3c , x15 , 0x00000000
1000ns , 0x40 , x16 , 0x00000000
1010ns , 0x44 , x17 , 0x00000000
1020ns , 0x48 , x18 , 0x00000000
1030ns , 0x4c , x19 , 0x00000000
1040ns , 0x50 , x20 , 0x00000000
1050ns , 0x54 , x21 , 0x00000000
