[9ns] [0x0] [0x00001137] | lui sp,0x1 | x2 = 4096 , 0x1000

[10ns] [0x4] [0x80010113] | add sp,sp,-2048 # 800 <__stacktop> | x2 = 2048 , 0x800

[11ns] [0x8] [0x0040006F] | j c <main> | x0 = 12 , 0xc

[17ns] [0xC] [0xFE010113] | add sp,sp,-32 | x2 = 2016 , 0x7e0

[20ns] [0x10] [0x00112E23] | sw ra,28(sp) | x0 = 0 , 0x0

[21ns] [0x14] [0x00812C23] | sw s0,24(sp) | x0 = 0 , 0x0

[22ns] [0x18] [0x01212A23] | sw s2,20(sp) | x0 = 0 , 0x0

[24ns] [0x1C] [0x01312823] | sw s3,16(sp) | x0 = 0 , 0x0

[28ns] [0x20] [0x02010413] | add s0,sp,32 | x8 = 2048 , 0x800

[29ns] [0x24] [0xFFF00793] | li a5,-1 | x15 = 4294967295 , 0xffffffff

[30ns] [0x28] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[32ns] [0x2C] [0x0CC00793] | li a5,204 | x15 = 204 , 0xcc

[33ns] [0x30] [0x01879713] | sll a4,a5,0x18 | x14 = 3422552064 , 0xcc000000

[34ns] [0x34] [0x0DD00793] | li a5,221 | x15 = 221 , 0xdd

[35ns] [0x38] [0x01079793] | sll a5,a5,0x10 | x15 = 14483456 , 0xdd0000

[36ns] [0x3C] [0x00F76733] | or a4,a4,a5 | x14 = 3437035520 , 0xccdd0000

[37ns] [0x40] [0x0EE00793] | li a5,238 | x15 = 238 , 0xee

[38ns] [0x44] [0x00879793] | sll a5,a5,0x8 | x15 = 60928 , 0xee00

[39ns] [0x48] [0x00F767B3] | or a5,a4,a5 | x15 = 3437096448 , 0xccddee00

[40ns] [0x4C] [0x0FF00713] | li a4,255 | x14 = 255 , 0xff

[41ns] [0x50] [0x00E7E7B3] | or a5,a5,a4 | x15 = 3437096703 , 0xccddeeff

[42ns] [0x54] [0x00078713] | mv a4,a5 | x14 = 3437096703 , 0xccddeeff

[44ns] [0x58] [0xFEC42783] | lw a5,-20(s0) | x15 = 4294967295 , 0xffffffff

[45ns] [0x5C] [0x00E7C7B3] | xor a5,a5,a4 | x15 = 857870592 , 0x33221100

[46ns] [0x60] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 0x0

[47ns] [0x64] [0xFEC42503] | lw a0,-20(s0) | x10 = 857870592 , 0x33221100

[50ns] [0x68] [0x038000EF] | jal a0 <function> | x1 = 108 , 0x6c

[53ns] [0xA0] [0xFD010113] | add sp,sp,-48 | x2 = 1968 , 0x7b0

[56ns] [0xA4] [0x02812623] | sw s0,44(sp) | x0 = 0 , 0x0

[58ns] [0xA8] [0x03010413] | add s0,sp,48 | x8 = 2016 , 0x7e0

[59ns] [0xAC] [0xFCA42E23] | sw a0,-36(s0) | x0 = 0 , 0x0

