[110ns] [0x0] [0x00001137] | lui sp,0x1 | x2 = 4096 , 0x1000

[120ns] [0x4] [0x80010113] | add sp,sp,-2048 # 800 <__stacktop> | x2 = 2048 , 0x800

[130ns] [0x8] [0x0040006F] | j c <main> | x0 = 12 , 0xc

[200ns] [0xC] [0xE4010113] | add sp,sp,-448 | x2 = 1600 , 0x640

[210ns] [0x10] [0x1A112E23] | sw ra,444(sp) | x0 = 0 , 0x0

[230ns] [0x14] [0x1A812C23] | sw s0,440(sp) | x0 = 0 , 0x0

[250ns] [0x18] [0x1C010413] | add s0,sp,448 | x8 = 2048 , 0x800

[260ns] [0x1C] [0xFE042623] | sw zero,-20(s0) | x0 = 0 , 0x0

[280ns] [0x20] [0xFE042423] | sw zero,-24(s0) | x0 = 0 , 0x0

[300ns] [0x24] [0x04C0006F] | j 70 <main+0x64> | x0 = 40 , 0x28

[410ns] [0x70] [0xFE842703] | lw a4,-24(s0) | x14 = 0 , 0x0

[420ns] [0x74] [0x00900793] | li a5,9 | x15 = 9 , 0x9

[430ns] [0x78] [0xFAE7F8E3] | bgeu a5,a4,28 <main+0x1c> | x0 = 1 , 0x1

[470ns] [0x28] [0xFE042223] | sw zero,-28(s0) | x0 = 0 , 0x0

[490ns] [0x2C] [0x02C0006F] | j 58 <main+0x4c> | x0 = 48 , 0x30

[580ns] [0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 0 , 0x0

[600ns] [0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 0x1a

[610ns] [0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 0x1

[700ns] [0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 0 , 0x0

[710ns] [0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 0x38

[750ns] [0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 0x620

[760ns] [0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 0x0

[780ns] [0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 0x640

[790ns] [0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 0x0

[820ns] [0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[830ns] [0x144] [0x00100793] | li a5,1 | x15 = 1 , 0x1

[840ns] [0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 0x1

[930ns] [0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[950ns] [0x158] [0x00200793] | li a5,2 | x15 = 2 , 0x2

[960ns] [0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 0x1

[1060ns] [0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1070ns] [0x16C] [0x00300793] | li a5,3 | x15 = 3 , 0x3

[1080ns] [0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 0x1

